,start_station_name,end_station_name,Number_of_Trips
0,5 Corners Library,Baldwin at Montgomery,3
1,5 Corners Library,Bergen Ave,1
2,5 Corners Library,Brunswick & 6th,2
3,5 Corners Library,Brunswick St,10
4,5 Corners Library,Christ Hospital,5
5,5 Corners Library,City Hall,1
6,5 Corners Library,Columbus Drive,3
7,5 Corners Library,Communipaw & Berry Lane,2
8,5 Corners Library,Dey St,5
9,5 Corners Library,Fairmount Ave,3
10,5 Corners Library,Grand St,1
11,5 Corners Library,Grove St PATH,5
12,5 Corners Library,Hamilton Park,9
13,5 Corners Library,Harborside,5
14,5 Corners Library,Heights Elevator,2
15,5 Corners Library,Hilltop,5
16,5 Corners Library,Hoboken Ave at Monmouth St,3
17,5 Corners Library,JC Medical Center,1
18,5 Corners Library,Jackson Square,1
19,5 Corners Library,Jersey & 6th St,1
20,5 Corners Library,Lafayette Park,2
21,5 Corners Library,Leonard Gordon Park,4
22,5 Corners Library,Liberty Light Rail,1
23,5 Corners Library,Lincoln Park,1
24,5 Corners Library,Manila & 1st,1
25,5 Corners Library,Marin Light Rail,3
26,5 Corners Library,McGinley Square,5
27,5 Corners Library,Monmouth and 6th,3
28,5 Corners Library,Montgomery St,3
29,5 Corners Library,Newark Ave,6
30,5 Corners Library,Newport PATH,4
31,5 Corners Library,Newport Pkwy,11
32,5 Corners Library,Oakland Ave,2
33,5 Corners Library,Pershing Field,12
34,5 Corners Library,Riverview Park,2
35,5 Corners Library,Sip Ave,4
36,5 Corners Library,Van Vorst Park,3
37,5 Corners Library,Washington St,1
38,5 Corners Library,York St,2
39,Astor Place,Baldwin at Montgomery,2
40,Astor Place,Bergen Ave,7
41,Astor Place,Brunswick & 6th,2
42,Astor Place,Brunswick St,2
43,Astor Place,City Hall,1
44,Astor Place,Columbus Dr at Exchange Pl,2
45,Astor Place,Columbus Drive,1
46,Astor Place,Communipaw & Berry Lane,3
47,Astor Place,Dixon Mills,1
48,Astor Place,Fairmount Ave,36
49,Astor Place,Glenwood Ave,1
50,Astor Place,Grand St,2
51,Astor Place,Grove St PATH,10
52,Astor Place,Hamilton Park,2
53,Astor Place,Harborside,5
54,Astor Place,Heights Elevator,1
55,Astor Place,Hilltop,1
56,Astor Place,JC Medical Center,4
57,Astor Place,Jackson Square,13
58,Astor Place,Journal Square,1
59,Astor Place,Leonard Gordon Park,1
60,Astor Place,Liberty Light Rail,4
61,Astor Place,Lincoln Park,11
62,Astor Place,Manila & 1st,6
63,Astor Place,Marin Light Rail,3
64,Astor Place,McGinley Square,14
65,Astor Place,Montgomery St,5
66,Astor Place,Newark Ave,8
67,Astor Place,Newport PATH,1
68,Astor Place,Oakland Ave,1
69,Astor Place,Paulus Hook,3
70,Astor Place,Pershing Field,41
71,Astor Place,Sip Ave,118
72,Astor Place,Van Vorst Park,4
73,Astor Place,Warren St,2
74,Astor Place,York St,2
75,Baldwin at Montgomery,5 Corners Library,3
76,Baldwin at Montgomery,Bergen Ave,2
77,Baldwin at Montgomery,Brunswick & 6th,8
78,Baldwin at Montgomery,Brunswick St,9
79,Baldwin at Montgomery,Christ Hospital,1
80,Baldwin at Montgomery,City Hall,27
81,Baldwin at Montgomery,Columbus Dr at Exchange Pl,14
82,Baldwin at Montgomery,Columbus Drive,5
83,Baldwin at Montgomery,Communipaw & Berry Lane,2
84,Baldwin at Montgomery,Dey St,1
85,Baldwin at Montgomery,Dixon Mills,2
86,Baldwin at Montgomery,Fairmount Ave,2
87,Baldwin at Montgomery,Glenwood Ave,1
88,Baldwin at Montgomery,Grand St,18
89,Baldwin at Montgomery,Grove St PATH,94
90,Baldwin at Montgomery,Hamilton Park,6
91,Baldwin at Montgomery,Harborside,3
92,Baldwin at Montgomery,Heights Elevator,4
93,Baldwin at Montgomery,Hilltop,10
94,Baldwin at Montgomery,Hoboken Ave at Monmouth St,1
95,Baldwin at Montgomery,JC Medical Center,12
96,Baldwin at Montgomery,Jackson Square,2
97,Baldwin at Montgomery,Jersey & 3rd,1
98,Baldwin at Montgomery,Jersey & 6th St,1
99,Baldwin at Montgomery,Journal Square,17
100,Baldwin at Montgomery,Lafayette Park,2
101,Baldwin at Montgomery,Liberty Light Rail,4
102,Baldwin at Montgomery,Lincoln Park,8
103,Baldwin at Montgomery,Manila & 1st,11
104,Baldwin at Montgomery,Marin Light Rail,4
105,Baldwin at Montgomery,McGinley Square,16
106,Baldwin at Montgomery,Monmouth and 6th,4
107,Baldwin at Montgomery,Montgomery St,9
108,Baldwin at Montgomery,Morris Canal,3
109,Baldwin at Montgomery,Newark Ave,25
110,Baldwin at Montgomery,Newport PATH,7
111,Baldwin at Montgomery,Newport Pkwy,9
112,Baldwin at Montgomery,Oakland Ave,1
113,Baldwin at Montgomery,Paulus Hook,4
114,Baldwin at Montgomery,Pershing Field,1
115,Baldwin at Montgomery,Riverview Park,2
116,Baldwin at Montgomery,Sip Ave,115
117,Baldwin at Montgomery,Union St,4
118,Baldwin at Montgomery,Van Vorst Park,16
119,Baldwin at Montgomery,Warren St,9
120,Baldwin at Montgomery,Washington St,16
121,Baldwin at Montgomery,York St,2
122,Bergen Ave,5 Corners Library,1
123,Bergen Ave,Astor Place,10
124,Bergen Ave,Baldwin at Montgomery,1
125,Bergen Ave,Brunswick St,4
126,Bergen Ave,City Hall,7
127,Bergen Ave,Columbus Dr at Exchange Pl,2
128,Bergen Ave,Columbus Drive,1
129,Bergen Ave,Communipaw & Berry Lane,4
130,Bergen Ave,Dixon Mills,1
131,Bergen Ave,Fairmount Ave,1
132,Bergen Ave,Glenwood Ave,1
133,Bergen Ave,Grand St,8
134,Bergen Ave,Grove St PATH,7
135,Bergen Ave,Hamilton Park,5
136,Bergen Ave,Harborside,2
137,Bergen Ave,Heights Elevator,3
138,Bergen Ave,Hilltop,2
139,Bergen Ave,JC Medical Center,2
140,Bergen Ave,Jackson Square,2
141,Bergen Ave,Jersey & 3rd,1
142,Bergen Ave,Journal Square,9
143,Bergen Ave,Lafayette Park,2
144,Bergen Ave,Liberty Light Rail,4
145,Bergen Ave,Lincoln Park,6
146,Bergen Ave,Manila & 1st,3
147,Bergen Ave,Marin Light Rail,2
148,Bergen Ave,McGinley Square,8
149,Bergen Ave,Montgomery St,4
150,Bergen Ave,Morris Canal,2
151,Bergen Ave,Newark Ave,3
152,Bergen Ave,Newport PATH,4
153,Bergen Ave,North Moore St & Greenwich St,1
154,Bergen Ave,Oakland Ave,1
155,Bergen Ave,Paulus Hook,8
156,Bergen Ave,Pershing Field,5
157,Bergen Ave,Sip Ave,131
158,Bergen Ave,Union St,1
159,Bergen Ave,Van Vorst Park,1
160,Bergen Ave,Washington St,1
161,Bergen Ave,York St,10
162,Brunswick & 6th,5 Corners Library,1
163,Brunswick & 6th,Astor Place,1
164,Brunswick & 6th,Baldwin at Montgomery,5
165,Brunswick & 6th,Bergen Ave,5
166,Brunswick & 6th,Brunswick St,10
167,Brunswick & 6th,City Hall,16
168,Brunswick & 6th,Columbus Dr at Exchange Pl,15
169,Brunswick & 6th,Columbus Drive,10
170,Brunswick & 6th,Communipaw & Berry Lane,1
171,Brunswick & 6th,Dixon Mills,8
172,Brunswick & 6th,Fairmount Ave,1
173,Brunswick & 6th,Glenwood Ave,10
174,Brunswick & 6th,Grand St,15
175,Brunswick & 6th,Grove St PATH,147
176,Brunswick & 6th,Hamilton Park,62
177,Brunswick & 6th,Harborside,6
178,Brunswick & 6th,Heights Elevator,2
179,Brunswick & 6th,Hilltop,1
180,Brunswick & 6th,JC Medical Center,8
181,Brunswick & 6th,Jersey & 3rd,38
182,Brunswick & 6th,Jersey & 6th St,4
183,Brunswick & 6th,Lafayette Park,2
184,Brunswick & 6th,Liberty Light Rail,6
185,Brunswick & 6th,Lincoln Park,2
186,Brunswick & 6th,Manila & 1st,57
187,Brunswick & 6th,Marin Light Rail,13
188,Brunswick & 6th,McGinley Square,3
189,Brunswick & 6th,Monmouth and 6th,13
190,Brunswick & 6th,Montgomery St,4
191,Brunswick & 6th,Morris Canal,15
192,Brunswick & 6th,Newark Ave,43
193,Brunswick & 6th,Newport PATH,6
194,Brunswick & 6th,Newport Pkwy,20
